,open_covid_region_code,date,hospitalized_new
409,FR-11,2020-05-21,10.0
410,FR-11,2020-05-28,8.0
411,FR-11,2020-06-04,1.0
412,FR-11,2020-06-11,2.0
413,FR-11,2020-06-18,6.0
414,FR-11,2020-06-25,4.0
415,FR-11,2020-07-02,0.0
416,FR-11,2020-07-09,0.0
417,FR-11,2020-07-16,2.0
418,FR-11,2020-07-23,4.0
419,FR-11,2020-07-30,0.0
420,FR-11,2020-08-06,1.0
421,FR-11,2020-08-13,1.0
422,FR-11,2020-08-20,2.0
423,FR-11,2020-08-27,4.0
424,FR-11,2020-09-03,2.0
425,FR-11,2020-09-10,2.0
426,FR-11,2020-09-17,11.0
427,FR-11,2020-09-24,4.0
428,FR-11,2020-10-01,1.0
429,FR-12,2020-03-19,21.0
430,FR-12,2020-03-26,49.0
431,FR-12,2020-04-02,48.0
432,FR-12,2020-04-09,28.0
433,FR-12,2020-04-16,23.0
434,FR-12,2020-04-23,3.0
435,FR-12,2020-04-30,3.0
436,FR-12,2020-05-07,1.0
437,FR-12,2020-05-14,0.0
438,FR-12,2020-05-21,1.0
439,FR-12,2020-05-28,0.0
440,FR-12,2020-06-04,0.0
441,FR-12,2020-06-11,0.0
442,FR-12,2020-06-18,0.0
443,FR-12,2020-06-25,0.0
444,FR-12,2020-07-02,0.0
445,FR-12,2020-07-09,0.0
446,FR-12,2020-07-16,0.0
447,FR-12,2020-07-23,2.0
448,FR-12,2020-07-30,5.0
449,FR-12,2020-08-06,2.0
450,FR-12,2020-08-13,0.0
451,FR-12,2020-08-20,2.0
452,FR-12,2020-08-27,4.0
453,FR-12,2020-09-03,5.0
454,FR-12,2020-09-10,8.0
455,FR-12,2020-09-17,10.0
456,FR-12,2020-09-24,9.0
457,FR-12,2020-10-01,4.0
458,FR-13,2020-03-19,498.0
459,FR-13,2020-03-26,919.0
460,FR-13,2020-04-02,794.0
461,FR-13,2020-04-09,556.0
462,FR-13,2020-04-16,597.0
463,FR-13,2020-04-23,406.0
464,FR-13,2020-04-30,213.0
465,FR-13,2020-05-07,135.0
466,FR-13,2020-05-14,108.0
467,FR-13,2020-05-21,58.0
468,FR-13,2020-05-28,41.0
469,FR-13,2020-06-04,52.0
470,FR-13,2020-06-11,24.0
471,FR-13,2020-06-18,15.0
472,FR-13,2020-06-25,15.0
473,FR-13,2020-07-02,20.0
474,FR-13,2020-07-09,31.0
475,FR-13,2020-07-16,38.0
